Product Name,Price,Discount,Rating,Number of Reviews,Cluster_Label
"Clairbell Dj Box 10W With Fm Radio,Mic, Usb Pen Drive &...",461,53,3.6,25,0
Toplus A51160D5 65 W Bluetooth Home Theatre,2103,78,3.4,20,0
Rzg Rr4E High Bass Dj Music System Home Theater 120 W ...,2847,78,3.3,19,0
Dotsun Dotsun Blaster 3600 W Bluetooth Tower Speaker,4191,30,4.1,83,1
Techfly K12 Speaker | Wireless Bluetooth | Karaoke Mic ...,501,74,3.9,3551,0
Intex Multimedia Speaker Tw 11803 Fmub (Dual) 100 W Blu...,11946,38,3.9,203,1
Edifier R1700Bts 66 W Bluetooth Studio Monitor,18827,12,4.9,31,1
Bencley New Fridoble With Extra Bass Double Tower 120 W...,5047,40,5.0,5,1
Treadmill Quality With Super Bass 10 W Bluetooth Home T...,435,56,4.1,7,0
Prahar Galaxy Mini Bluetooth Wireless Speaker With Goog...,399,88,4.8,9,0
Rzg E50T Music System Home Theater 120 W Bluetooth Tow...,2998,76,3.7,33,0
Nidhi Ita Double Tower 120 W Bluetooth Tower Speaker,5170,55,3.7,33,0
X4Decor Mini Boost Portable Bluetooth Speaker 4 W Bluet...,295,70,4.2,14,0
Tronica Nano Wooden 2.0 Enjoy 30 W Bluetooth Home Theat...,1004,49,3.9,34,0
Onbiz Wireless Bluetooth Speaker With Inbuilt Phone Sta...,288,80,4.0,22,0
"Snuthao Defender Bluetooth Car Speaker  Compact, Wirel...",799,20,4.9,11,1
Rzw Music Bar High Power Compact Soundbar & Multiple Pl...,809,19,3.9,30,1
"Bencley Usb, Sd Card And Fm Radio 60 W Bluetooth Tower ...",2064,58,3.7,19,0
"Rzg Q84 Tower Speaker/Home Theatre With Subwoofer, Kar...",3265,74,3.5,4,0
Soroo Future Stereo Soundbar For Phone/Tv/Laptop/Tablet...,826,83,4.3,4,0
"Rzg Dj Music System Multimedia Speaker With Aux, Fm, Me...",2978,77,4.0,135,0
"Msnr Soundbar Voor Tv Met Subwoofer, Surround Sound, Do...",886,87,4.6,9,0
Bfsteckt Range Rover Wireless Bluetooth Car Speaker Com...,891,40,4.4,5,1
Gizmore Giz 4110 50 W Bluetooth Home Theatre,3016,24,3.6,87,1
Bencley Black Tubee Ultra Bass 180 W Bluetooth Tower Sp...,5725,39,3.8,56,1
"Krisons Partypal With Free Mic,Bluetooth ,50 Watts 50 W...",1650,58,3.9,11,0
Rzw Dolby Atmos Soundbar 20W Bluetooth Speaker With 12H...,777,77,3.6,42,0
Bencley Wled Tower 70 W Bluetooth Tower Speaker,2851,18,4.1,38,1
Bogx Latest Speaker Rechargeable Dj Sound Extra Bass St...,1176,41,3.8,20,1
Qcluellu Gf Super Bass Bluetooth Wireless 50 W Bluetoot...,1932,80,4.2,6,0
Shewon Atom705 50 W Bluetooth Home Theatre,2799,46,5.0,3,1
Toplus Phantom Hibass Dj Sound 9500 W Bluetooth Home T...,3599,64,4.3,4,0
Dab 8 Inch Speaker Woofer 200W Home Theater Or Column R...,649,56,3.9,372,0
Xhimdun Stocker8 Home Theatre Tower Speaker 120 W Bluet...,2873,64,4.3,3,0
Etmax Nano Shark Silver 35 W Bluetooth Home Audio Speak...,965,53,4.0,23,0
Soroo Future 16Watt 5.0 Channel With Hdmi & Wireless Bl...,810,88,3.3,7,0
Soroo Future Newly Launched Soundbar I 1500Mah Battery ...,760,69,4.4,60,0
Rutashy Rty1230 Mini 50 W Bluetooth Tower Speaker,1943,54,4.0,3,0
I Kall Ik202 60 W Bluetooth Home Theatre,1928,35,3.7,103,1
Dh Discovery D10 With 100 W Bluetooth Home Theatre,2156,30,3.5,139,1
Virtual Mart India Vmi7272P 180 W Bluetooth Tower Speak...,10020,65,4.0,9,0
D1Y3 Led Speaker High Bass Sound Maltimedia Speaker 125...,2957,77,5.0,3,0
"Bencley Beneco Usb, Sd Card And Fm Radio 55 W Bluetoot...",2057,65,3.8,20,0
Quillquarry H86T/Jb 110 W Bluetooth Tower Speaker,2947,75,3.8,10,0
Rzg R20 Dancing Home Theater 120 W Bluetooth Tower Spe...,2543,80,0.0,0,3
New Eagle 300Bt 1 W Bluetooth Home Theatre,1899,42,3.7,3,1
Bencley Blkthunderbird 150 W Bluetooth Tower Speaker,6413,32,3.9,45,1
"Rzw Pl4180 Essential & Rich Bass, 5 Hrs Playtime, Ipx7...",636,78,3.6,8,0
Tronica Fl 40 W Bluetooth Home Theatre,2244,35,3.9,56,1
Tecnia Mt18 Single Tower Karaoke Tower Speaker 80 W Bl...,4191,61,3.3,31,0
Techobucks Ws01 Power Pact Stereo Sound |3D Extra | Sp...,560,30,3.8,79,1
Clairbell Zqs 4210 15 W Bluetooth Tower Speaker,1472,50,4.0,1,0
"Zsiv L51 Speaker, Super Bass Best Sound Quality, Splas...",699,81,4.0,25,0
Treadmill Premium Wireless Multi Function Subwoofer Ul...,401,59,3.2,21,0
Tx Flo 19H Playtime Sleek Soundbar With Powerful Sound...,982,75,4.0,123,0
Clairbell Mg34King113Mg King Bluetooh Wireless Rechar...,540,50,4.0,48,0
Prass 4.1 Bt 65 W Bluetooth Home Theatre,2209,26,3.7,43,1
Toreto Party Mini Party Box Speaker With Wired Karaoke ...,5399,46,4.3,3,1
Tronica Banjo 3 55 W Bluetooth Tower Speaker,3545,21,4.5,12,1
"Rzg Virtal Dj Party Speaker With Mic Support, Remote Co...",3332,74,4.0,5,0
Qcluellu 448 =Fg Tower Speaker Dj Sound Stereo Bass Bui...,2898,71,0.0,0,3
"Rzg D208 Tower Speaker/Home Theatre With Subwoofer, Ka...",1928,80,3.7,10,0
Zsiv Tv Sound Bar And Wireless Bluetooth Audio Speaker ...,889,87,4.8,5,0
Techpunch Newest Speaker Portable Dynamic Thunder Sound...,445,55,0.0,0,3
Divik K12 Wireless Karaoke Speaker With Mic 10 W Blueto...,479,76,3.5,11,0
Clairbell Odz_693L_ 4103|Ws 15 W Bluetooth Tower Speak...,746,45,3.4,8,0
Dotsun 8 Inch Woofer Single Tower 4000 W Bluetooth Towe...,4224,64,3.3,29,0
"Prass Passion Tower 5.25"" Woofer With 3"" Speaker 55 W B...",2283,34,5.0,4,1
Prass 2.1 With Wooden Satellite 65 W Bluetooth Home The...,2301,34,4.0,74,1
Ultiads G55 Home Audio Speaker 100 W Bluetooth Tower S...,2876,64,3.9,28,0
Baspro 4 Inch Wall Mount Speaker For Home Theatre/ Offi...,799,57,0.0,0,3
Nidhie Twin Turbo 200 W Bluetooth Tower Speaker,6465,63,3.7,28,0
Rzw Enjoy Your Favorite Songs With Exceptional Clarity ...,760,74,4.0,9,0
Bencley Hdt03 Pro Double Tower 115 W Bluetooth Tower S...,4791,31,3.7,165,1
Zwollex Wireless 5.3 Home System Sound Bar With Perfect...,683,77,3.9,70,0
Tronica Bluetooth Home Theater 35 W Bluetooth Home Thea...,2188,37,3.6,27,1
Xvep Karaoke Speaker Soundbar With Rechargeable Battery...,896,69,3.4,357,0
Bencley Hdt01 Double Tower 105 W Bluetooth Tower Speak...,4689,33,3.7,58,1
"Toplus Tps180N9 Bluetooth Home Theatre (Black, 4.1 Chan...",1992,13,3.8,16,1
Hezoc Mini Booster 5 W Bluetooth Home Audio Speaker,373,53,3.5,11,0
Guggu Nn753 M425 Bluetooth Home Theatre Speaker 16 W B...,953,43,3.0,3,0
Tseries Charlie 50 W Bluetooth Home Audio Speaker,7194,27,3.9,38,1
Guggu Yyc_585S Super Bass Bluetooth Wireless Portable Z...,1432,52,4.0,27,0
Good Fun Ws1600 Mini Home Theater|3D Sound|Splashproof...,654,83,0.0,0,3
Terabyte Tb015 (Usb Powered) 2.0 Mini Desktop Speakers...,499,16,3.9,68,1
Bencley Black Diamond Bass Boost With Multicolor Neon ...,5746,39,3.9,14,1
Rzg R620 Dj Multimedia Mini Tower Speaker Home Theater...,1845,81,3.8,41,0
Edifier Mr4 42 W Studio Monitor,13027,23,4.6,36,1
Immutable Portable Wireless Bluetooth Speaker With Wire...,1248,51,3.4,12,0
Soroo Future A006 Portable Bluetooth Speaker With Dj Lh...,654,78,0.0,0,3
Clairbell Ieg_600B_Lz 4104||Ws04|| Karaoke Speaker Wit...,746,46,3.7,3,0
Ultiads Fghg 100 W Bluetooth Tower Speaker,2830,64,0.0,0,3
"Woos Bluetooth Speaker,6Hrs Playback,3D Theater Sound E...",786,60,4.7,3,0
Quaranel Wef/S Tower Multimedia Speaker System Remote ...,2818,78,3.3,4,0
Clairbell Dj Box Led Music Blub With Rgb Light Changing...,294,70,4.3,4,0
"Toplus Ae180N9 Bluetooth Home Theatre (Black, 4.1 Chan...",2005,44,3.6,19,1
Limbro 50W Home Theatre 40 W Bluetooth Home Theatre,1371,72,3.5,6,0
Me&U Partybox 40Watt With Bluetooth Fm Aux Rgb Light Ka...,1386,65,3.5,87,0
Rzw Tv Speakers Soundbar Dynamic Thunder Sound 2200Mah ...,945,72,4.0,2,0
Snowbudy Wireless Charging Lamp With Bluetooth Speaker ...,949,76,4.0,3,0
Rentoor Light Bluetooth Control Smart Music Playing Aud...,300,69,3.9,112,0
Rzw High Bass Soundbar For 6.5 Hours Playtime Wireless ...,910,73,4.4,9,0
Sacro Bluetooth Party Speaker Support Bt/Usb/Sd Card Wi...,1373,31,4.4,35,1
Quaranel Dj Home Theater System 90 W Bluetooth Tower Sp...,2705,72,3.8,10,0
Rzw Blaster 10Watt Loud Sound Fm Usb Mmc Bt 6 Hr.Playti...,649,67,4.7,3,0
Rzw Wireless Soundbar Portable Speaker Stereo Hifi Heav...,878,64,3.8,92,0
Toplus Cine Venue 4000 75 W Bluetooth Home Theatre,3470,56,4.0,10,0
Guggu Wireless Soundbar: 48W Bluetoothcompatible Speak...,884,50,3.5,19,0
D1Y3 120W Tower Speaker02Black 120 W Bluetooth Tower ...,2945,77,4.3,33,0
Dhan Grd A005 Bluetooth Speaker 10 W Bluetooth Home Au...,478,36,4.3,27,1
Yoment Ty9 Home Tower Speaker 40 W Bluetooth Tower Spea...,1650,83,3.6,80,0
Good Fun Alto R1 Bluetooth Wireless 5.0 Channel Sound B...,847,57,3.8,12,0
Toplus Gnsdiscovery Multimedia Bluetooth Tower Speaker...,2795,20,4.1,79,1
Quotimo Siz Tallboy St500 120 W Bluetooth Tower Speaker,3305,58,3.6,102,0
"Quaranel Home Theater Fm Support , Bluetooth Streaming ...",1996,80,4.3,6,0
Clairbell Ygi_630F_Lz 4104||Ws04|| Karaoke Speaker Wit...,746,46,3.6,34,0
Immutable E91 Portable Wireless Bluetooth Desktop Pc L...,748,42,3.7,46,1
Treadmill Tg 143 Portable Wireless Bluetooth Dual Bass ...,673,32,3.9,17,1
Techobucks Wireless Speaker Thunder High Bass Powerful ...,857,28,3.9,105,1
"D1Y3 Multiconectivity Fm, Aux, Memory Support 120 W Bl...",2998,76,2.3,3,0
Erhindia 1 Pc Audio Speaker Sound Tv Loudspeakers Speak...,243,64,3.6,7,0
Xhimdun Gangwar6 Home Theatre Tower Speaker 100 W Bluet...,3000,66,4.2,51,0
Quaranel U99 G Tower Multimedia Speaker System Remote ...,2820,78,3.9,61,0
Hzr T20X Party Speaker With Karaoke 120 W Bluetooth To...,3787,70,4.0,9,0
Guggu Thunder (Bluetooth Speaker With Mic) 20W Stereo S...,1443,51,3.6,34,0
Immutable Lz3101 Portable Bluetooth Speaker Audio Play...,567,43,3.9,42,1
Soroo Future Bluetooth Speaker Bass Music System For Ho...,936,62,4.0,7,0
Guggu Dj Box Wireless Small With Big Sound Metal Shineb...,425,57,4.0,10,0
Techobucks 3D Rich Bass Multimedia Trolley Disco Light ...,405,66,3.3,12,0
"Rzw Bass 20W Bluetooth Speaker With 12Hour Playtime,Tf ...",781,77,3.5,11,0
Clairbell Nej_633G_Lz 4104||Ws04|| Karaoke Speaker Wit...,746,46,3.6,17,0
Mak Power Sp350 Tws Bluetooth Speaker For Indoor/Outdo...,607,59,5.0,5,0
